ID,ecozone,gender,reproduction,embryo
Haliotis_mariae,M,D,O,M
Clithon_retropictum,T,D,O,M
Theodoxus_fluviatilis,T,D,O,F
Pomacea_canaliculata,T,D,O,F
Pomacea_urceus,T,D,O,F
Viviparus_contectus,T,D,O,F
Viviparus_georgianus,T,H,O,F
Viviparus_viviparus,T,D,O,F
Elimia_proxima,T,D,A,F
Melanoides_tuberculata,T,D,A,F
Buccinum_undatum,M,H,O,M
Busycon_carica,M,D,O,M
Buccinanops_deformis,M,H,O,M
Tritia_reticulatus,M,H,O,M
Conus_pennaceus,M,D,O,M
Urosalpinx_cinerea,M,D,O,M
Adelomelon_beckii,M,D,O,M
Adelomelon_brasiliana,M,D,O,M
Odontocymbiola_magellanica,M,D,O,M
Zidona_dufresnii,M,D,O,M
Callianax_biplicata,M,D,O,M
Olivancillaria_deshayesiana,M,D,O,M
Crepidula_fornicata,M,H,O,M
Littorina_littorea,M,D,O,M
Laevilacunaria_antarctica,M,D,O,M
Melarhaphe_neritoides,M,D,O,M
Euspira_nitida,M,D,O,M
Lobatus_gigas,M,D,O,M
Angustassiminea_castanea,T,D,O,F
Assiminea_japonica,T,D,O,F
Bithynia_tentaculata,T,D,O,F
Heleobia_australis,M,D,O,M
Pyrgulopsis_robusta,T,H,O,F
Potamopyrgus_antipodarum,T,D,A,F
Valvata_cristata,T,H,O,F
Valvata_utahensis,T,H,O,F
Aplysia_californica,M,H,O,M
Clione_limacina,M,H,O,M
Cuthona_nana,M,H,O,M
Bulinus_globosus,T,H,O,F
Bulinus_tropicus,T,H,O,F
Bulinus_truncatus,T,H,O,F
Indoplanorbis_exustus,T,H,O,F
Ampullaceana_balthica,T,H,O,F
Lymnaea_stagnalis,T,H,O,F
Radix_natalensis,T,H,O,F
Radix_rubiginosa,T,H,O,F
Stagnicola_palustris,T,H,O,F
Burnupia_stenochorias,T,H,O,F
Ancylus_fluviatilis,T,H,O,F
Ferrissia_californica,T,H,O,F
Hebetancylus_excentricus,T,H,O,F
Laevapex_fuscus,T,H,O,F
Biomphalaria_alexandrina,T,H,O,F
