ID,ecozone,gender,reproduction,embryo
Petromyzon_marinus,T,D,O,F
Ichthyomyzon_castaneus,T,D,O,F
Ichthyomyzon_fossor,T,D,O,F
Ichthyomyzon_gagei,T,D,O,F
Ichthyomyzon_greeleyi,T,D,O,F
Entosphenus_tridentatus,M,D,O,F
Lethenteron_appendix,T,D,O,F
Lethenteron_camtschaticum,T,D,O,F
Lampetra_aepyptera,T,D,O,F
Lampetra_fluviatilis,T,D,O,F
Lampetra_lanceolata,T,D,O,F
Lampetra_planeri,T,D,O,F
Callorhinchus_capensis,M,D,O,M
Callorhinchus_milii,M,D,O,M
Chimaera_lignaria,M,D,O,M
Chimaera_monstrosa,M,D,O,M
Chimaera_fulva,M,D,O,M
Hydrolagus_colliei,M,D,O,M
Hydrolagus_ogilbyi,M,D,O,M
Rhinochimaera_pacifica,M,D,O,M
Heterodontus_portusjacksoni,M,D,O,M
Hemiscyllium_ocellatum,M,D,O,M
Chiloscyllium_plagiosum,M,D,O,M
Stegostoma_fasciatum,M,D,O,M
Rhincodon_typus,M,D,O,M
Orectolobus_halei,M,D,O,M
Orectolobus_hutchinsi,M,D,O,M
Orectolobus_maculatus,M,D,O,M
Orectolobus_ornatus,M,D,O,M
Ginglymostoma_cirratum,M,D,O,M
Cephaloscyllium_albipinnum,M,D,O,M
Cephaloscyllium_isabellum,M,D,O,M
Galeus_melastomus,M,D,O,M
Galeus_sauteri,M,D,O,M
Poroderma_africanum,M,D,O,M
Scyliorhinus_canicula,M,D,O,M
Scyliorhinus_retifer,M,D,O,M
Mustelus_antarcticus,M,D,O,M
Mustelus_asterias,M,D,O,M
Mustelus_californicus,M,D,O,M
Mustelus_canis,M,D,O,M
Mustelus_henlei,M,D,O,M
Mustelus_lenticulatus,M,D,O,M
Mustelus_manazo,M,D,O,M
Mustelus_mustelus,M,D,O,M
Mustelus_punctulatus,M,D,O,M
Mustelus_schmitti,M,D,O,M
Mustelus_walkeri,M,D,O,M
Triakis_megalopterus,M,D,O,M
Triakis_scyllium,M,D,O,M
Triakis_semifasciata,M,D,O,M
Furgaleus_macki,M,D,O,M
Galeorhinus_galeus,M,D,O,M
Hemitriakis_japanica,M,D,O,M
Carcharhinus_acronotus,M,D,O,M
Carcharhinus_albimarginatus,M,D,O,M
Carcharhinus_amblyrhynchos,M,D,O,M
Carcharhinus_brachyurus,M,D,O,M
Carcharhinus_brevipinna,M,D,O,M
Carcharhinus_cautus,M,D,O,M
Carcharhinus_coatesi,M,D,O,M
Carcharhinus_dussumieri,M,D,O,M
Carcharhinus_falciformis,M,D,O,M
Carcharhinus_fitzroyensis,M,D,O,M
Carcharhinus_galapagensis,M,D,O,M
Carcharhinus_isodon,M,D,O,M
Carcharhinus_leucas,M,D,O,M
Carcharhinus_limbatus,M,D,O,M
Carcharhinus_longimanus,M,D,O,M
Carcharhinus_macloti,M,D,O,M
Carcharhinus_melanopterus,M,D,O,M
Carcharhinus_obscurus,M,D,O,M
Carcharhinus_perezii,M,D,O,M
Carcharhinus_plumbeus,M,D,O,M
Carcharhinus_porosus,M,D,O,M
Carcharhinus_signatus,M,D,O,M
Carcharhinus_sorrah,M,D,O,M
Carcharhinus_tilstoni,M,D,O,M
Galeocerdo_cuvier,M,D,O,M
Rhizoprionodon_acutus,M,D,O,M
Rhizoprionodon_lalandii,M,D,O,M
Rhizoprionodon_oligolinx,M,D,O,M
Rhizoprionodon_porosus,M,D,O,M
Rhizoprionodon_taylori,M,D,O,M
Rhizoprionodon_terraenovae,M,D,O,M
Prionace_glauca,M,D,O,M
Negaprion_brevirostris,M,D,O,M
