lat_grid_idx,lon_grid_idx,species_count,genus_count,observation_count,temperature_param_mean,depth_param_mean,salinity_param_mean,primary_production_param_mean,dissolved_oxygen_param_mean,distance_to_land_param_mean,overall_probability,cell_center_lat,cell_center_lon,lat_south,lat_north,lon_west,lon_east
6,0,7,6,8,2.882142857142857,751.9285714285714,32.66392857142857,16.79,250.16357142857143,254.57142857142858,0.30125,-78.3,-178.2,-79.2,-77.4,-180.0,-176.4
6,1,7,5,7,3.6391666666666667,663.5416666666666,31.61708333333333,17.87625,254.87291666666667,278.25,0.38,-78.3,-174.6,-79.2,-77.4,-176.4,-172.8
6,2,16,13,18,4.662361111111111,1161.4027777777778,31.75597222222222,22.71611111111111,242.7184722222222,406.2361111111111,0.6522222222222223,-78.3,-171.0,-79.2,-77.4,-172.8,-169.2
6,3,11,10,14,3.591964285714286,1256.767857142857,32.91321428571429,17.086785714285714,255.46142857142857,416.5892857142857,0.7707142857142858,-78.3,-167.4,-79.2,-77.4,-169.2,-165.6
6,4,10,9,10,4.210277777777778,1157.861111111111,31.523888888888887,20.69222222222222,247.85250000000002,407.68055555555554,0.525,-78.3,-163.8,-79.2,-77.4,-165.6,-162.0
6,5,4,4,4,2.6118750000000004,833.0,32.098749999999995,17.190625,258.863125,313.90625,0.4675,-78.3,-160.2,-79.2,-77.4,-162.0,-158.4
6,6,5,5,5,6.529999999999999,1563.35,30.903499999999998,23.6735,245.469,454.8,0.41600000000000004,-78.3,-156.6,-79.2,-77.4,-158.4,-154.8
6,8,1,1,1,1.635,215.75,33.53,6.4575000000000005,267.875,169.75,0.15,-78.3,-149.4,-79.2,-77.4,-151.2,-147.6
6,27,2,2,2,-0.55375,121.5,33.59625,7.1725,262.48625,166.0,0.2,-78.3,-81.0,-79.2,-77.4,-82.8,-79.2
6,28,1,1,1,3.8875,335.75,33.4225,13.0975,281.9975,120.75,0.01,-78.3,-77.39999999999999,-79.2,-77.4,-79.2,-75.6
6,29,2,2,2,3.6637500000000003,122.625,29.97,12.1525,257.95125,421.625,0.44,-78.3,-73.8,-79.2,-77.4,-75.6,-72.0
6,30,3,3,3,2.1233333333333335,154.08333333333334,31.218333333333334,10.154166666666667,265.88666666666666,370.5,0.016666666666666666,-78.3,-70.2,-79.2,-77.4,-72.0,-68.39999999999999
6,31,3,3,3,-0.8125,255.0,33.68833333333333,6.514166666666667,267.21166666666664,165.83333333333334,0.10000000000000002,-78.3,-66.6,-79.2,-77.4,-68.39999999999999,-64.8
6,32,5,5,5,2.5149999999999997,1045.7,32.299,11.4585,256.961,597.75,0.326,-78.3,-63.0,-79.2,-77.4,-64.8,-61.2
6,33,5,5,5,1.8615,1001.05,32.479,14.632,259.5545,292.525,0.5519999999999999,-78.3,-59.39999999999999,-79.2,-77.4,-61.2,-57.599999999999994
6,34,6,4,6,-0.9370833333333334,257.625,33.787083333333335,4.8025,271.615,288.5,0.6583333333333333,-78.3,-55.8,-79.2,-77.4,-57.599999999999994,-54.0
6,35,10,9,10,1.609,906.225,32.969,12.18875,260.9925,326.2,0.585,-78.3,-52.2,-79.2,-77.4,-54.0,-50.400000000000006
6,36,6,6,6,0.5566666666666666,341.375,33.69,6.759166666666666,274.5325,245.58333333333334,0.6433333333333333,-78.3,-48.599999999999994,-79.2,-77.4,-50.400000000000006,-46.79999999999998
6,37,9,9,10,0.04250000000000004,221.225,33.6795,6.843500000000001,270.86625,269.95,0.629,-78.3,-45.0,-79.2,-77.4,-46.79999999999998,-43.19999999999999
6,38,11,10,12,0.93125,452.2916666666667,33.81041666666667,7.937708333333333,270.0627083333333,336.2083333333333,66.36916666666666,-78.3,-41.400000000000006,-79.2,-77.4,-43.19999999999999,-39.599999999999994
